ID,EDUCATION,ECONMIC
P00015567,3,1
P00015568,3,1
P00015597,1,0
P00015602,1,2
P00015604,4,0
P00015615,2,0
P00015626,3,1
P00015631,5,0
P00015638,4,
P00015658,3,1
P00015659,5,0
P00015666,5,1
P00015670,6,1
P00015715,3,0
P00015720,3,1
P00015732,4,0
P00015735,2,0
P00015764,2,0
P00015768,3,0
P00015769,3,0
P00015771,2,0
P00015773,5,1
P00015776,1,2
P00015784,4,1
P00015791,3,0
P00015817,3,3
P00015818,2,0
P00015845,2,1
P00015849,3,1
P00015859,2,0
P00015871,1,0
P00015883,4,1
P00015888,1,0
P00015893,5,1
P00015902,1,0
P00015979,2,0
P00015997,2,0
P00016026,4,0
P00016039,5,1
P00016052,4,1
P00016061,2,1
P00016087,2,0
P00016092,2,0
P00016106,2,0
P00016122,2,0
P00016148,3,0
P00016179,3,0
P00016188,3,0
P00016205,2,1
P00016207,2,0
P00016213,3,0
P00016214,3,0
P00016219,3,0
P00016225,2,1
P00016228,2,0
P00016237,2,1
P00016256,3,0
P00016283,3,0
P00016286,1,0
P00016288,1,0
P00016341,2,0
P00016365,2,0
P00016374,2,0
P00016393,2,0
P00016455,1,0
P00016468,2,1
P00016488,2,0
P01139544,5,2
P00016525,5,0
P00016526,2,0
P00016536,4,0
P00016555,2,0
P00016561,7,0
P00016565,2,0
P00016581,3,0
P00016615,4,1
P00016618,2,0
P00016620,4,1
P00016623,3,2
P00975431,3,1
P00016624,6,
P00016633,2,1
P00016637,3,2
P00016645,4,1
P00016646,3,0
P00975441,4,1
P00016653,3,0
P00016654,3,1
P00016671,5,0
P00016674,3,2
P00016677,5,0
P00016678,5,0
P00016679,2,0
P00016688,2,0
P00975457,4,0
P00016715,3,1
P00975466,3,0
P00016741,5,0
P00016746,5,0
P00016769,7,0
P00016794,3,0
P00016819,3,0
P00016820,5,0
P00016832,1,0
P00016837,3,1
P00016839,3,1
P00016859,1,0
P00016864,5,0
P00016898,2,0
P00016927,2,1
P00016931,2,1
P00016953,1,0
P00016955,7,2
P00016966,3,0
P00016985,5,0
P00017001,2,0
P00017012,6,1
P00017025,2,2
P00017038,1,0
P00017039,2,0
P00017043,1,0
P00017046,3,1
P00017047,4,1
P00017067,5,0
P00017103,2,0
P00017108,4,0
P00017133,1,0
P00017160,3,0
P00017168,4,0
P00017173,3,0
P00017186,2,1
P00017194,4,1
P00017195,3,0
P00017211,1,0
P00017212,3,2
P00017227,3,1
P00017271,3,2
P00017310,3,1
P00017364,3,0
P00017404,3,1
P00017411,3,0
P00017413,3,0
P00017418,4,0
P00017435,3,1
P00017470,2,1
P00017475,2,1
P00017490,1,0
P00017588,5,0
P00017597,2,0
P00017599,4,1
P00017612,5,0
P00017614,6,0
P00017617,2,0
P00017627,3,1
P00975502,2,1
P00017638,2,1
P00975505,5,0
P00975509,2,0
P00017662,5,1
P00017676,3,0
P00975538,2,0
P00017699,5,2
P00017723,2,0
P00017729,5,0
P00017730,3,1
P00017731,3,1
P00017743,5,1
P00017750,4,0
P00017760,2,1
P00017768,2,0
P00017807,3,1
P00017811,5,0
P00017812,4,0
P00017832,3,0
